rowId,parentDocId,prodId,price,qty,catId,plusInsurance,carNo,prodPriceRowId,prodStockRowId,insurancePrice,accessoriesHelmet,accessoriesRaincoat,accessoriesHelmetFull,fromVoltage,toVoltage,fromSoc,toSoc
2624,17012765170020564,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2625,17012765692880637,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2626,17012766726720551,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2627,17012767268940429,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2628,17012773041970095,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2629,17012774168210387,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2630,17012774688390271,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2631,17012775351970254,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2632,17012775820490000,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2633,17012776261700609,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2634,17012776884150180,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2635,17012777660070229,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2636,17012778438800988,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2637,17012782301970693,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2638,17012783321400537,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2639,17012783917640469,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2640,17012784926640666,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2641,17012785612900697,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2642,17013144154090918,,650,1,3,,,70,72,,,,,,,,
2643,17016754465050413,16124993747740688,440,1,3,0,EMD-8107,70,72,0,1,1,0,,,,
2644,17016770930180884,,650,1,3,,,70,72,,,,,,,,
2645,17016771260090911,,650,1,3,,,70,72,,,,,,,,
2646,17016787248880048,16124993747740688,-5940,1,3,0,EMD-8107,70,72,0,1,1,0,,,,
2647,17018453647580213,16124993747740688,500,1,3,0,EMD-8107,70,72,,1,1,0,,,,
2648,17019634300540838,,1500,1,3,,,70,72,,,,,,,,
2649,17025378861740392,16124993747740688,440,1,3,0,EMD-8107,70,72,,1,1,0,,,,
2650,17025379440480629,16124993747740688,650,1,3,0,EMD-8107,70,72,,1,1,0,,,,
2651,17025384396860798,,650,1,3,,,70,72,,,,,,,,
2652,17025384413780955,,650,1,3,,,70,72,,,,,,,,
2653,17025384549660081,,650,1,3,,,70,72,,,,,,,,
2654,17025384590210984,,650,1,3,,,70,72,,,,,,,,
2655,17025385183690800,,650,1,3,,,70,72,,,,,,,,
2656,17025390126450018,16124993747740688,300,1,3,0,EMD-8107,88,72,0,0,0,0,,,,
2657,17028820235890282,,650,1,3,,,70,72,,,,,,,,
2658,17028828561750292,,650,1,3,,,70,72,,,,,,,,
2659,17028838053460453,,650,1,3,,,70,72,,,,,,,,
2660,17028838546660152,,650,1,3,,,70,72,,,,,,,,
2661,17028840251390163,,2200,1,3,,,70,72,,,,,,,,
2662,17030484960970868,,100,1,3,,,70,72,,,,,,,,
2663,17030487230260846,16124993747740688,500,1,3,0,EMD-8107,70,72,,1,0,0,,,,
2664,17030488172710618,,650,1,3,,,70,72,,,,,,,,
2665,17030490818010594,16124993747740688,100,1,3,0,EMD-8107,70,72,,1,1,0,,,,
2666,17030548942170299,16124993747740688,650,1,3,0,EMD-8107,70,72,0,1,0,0,,,,
2667,17032375490790507,16167311669740784,600,1,3,1,EMD-8090,11,8,100,1,1,0,,,,
2668,17035779782210003,16124993747740688,330,1,3,0,EMD-8107,70,72,0,1,1,0,,,,
2669,17036657089890281,,2150,1,3,,,70,72,,,,,,,,
2670,17037038164300763,16124993747740688,650,1,3,0,EMD-8107,70,72,0,0,0,0,,,,
2671,17046112098660203,16836163627800754,790,1,16,1,NVH-3779,74,92,100,1,0,0,,,,
2672,17046113410230866,16836163627800754,600,1,16,0,NVH-3779,74,92,0,1,1,0,,,,
2673,17046115647230199,,680,1,9,,,61,40,,,,,,,,
2674,17046882199030633,,550,1,6,,,72,90,,,,,,,,
2675,17046882577300041,,550,1,6,,,72,90,,,,,,,,
2676,17046884803370147,16124993747740688,760,1,3,1,EMD-8107,70,72,0,1,1,0,,,,
2677,17046893392530936,,550,1,6,,,72,90,,,,,,,,
2678,17046893509490288,,550,1,6,,,72,90,,,,,,,,
2679,17046899500900215,16124993747740688,500,1,3,0,EMD-8107,70,72,0,0,0,0,,,,
2680,17046900209160377,16124993747740688,750,1,3,1,EMD-8107,70,72,100,1,1,0,,,,
2681,17050508598140663,16124993747740688,650,1,3,0,EMD-8107,70,72,0,1,1,0,,,,
2682,17050510662830835,,650,1,3,,,70,72,,,,,,,,
2683,17050511460110881,,650,1,3,,,70,72,,,,,,,,
2684,17050515274320862,,650,1,3,,,70,72,,,,,,,,
2685,17050515381190080,,550,1,6,,,72,90,,,,,,,,
2686,17050523143140899,,650,1,1,,,86,71,,,,,,,,
